chip_Id	Standard_Deviation	Sample_Type_Long	Probe	ds_id	Multi_Mapping	Sample_Type	Mapped_gene	Disease_State	Expression_Value	LineGraphGroup	Replicate_ID	Day
1699538160_G	0.451851792203	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.2293715324	null	hONS_PD_donor_10	null
1699538160_H	0.472159044862	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	13.2910288944	null	hONS_PD_donor_11	null
1787466018_A	0.258234394013	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	11.7993652597	null	hONS_PD_donor_12	null
1787466018_B	0.751718665284	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.1560521829	null	hONS_PD_donor_13	null
1787466018_C	0.226421629611	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.8799226023	null	hONS_PD_donor_14	null
1787466018_D	0.455509695813	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.0981425914	null	hONS_PD_donor_15	null
1787466018_E	0.273495516942	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.6290608016	null	hONS_PD_donor_16	null
1787466018_F	0.0332093970126	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.1888336087	null	hONS_PD_donor_17	null
1787466029_E	0.111609541448	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	11.9132698562	null	hONS_PD_donor_22	null
1787466029_G	0	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	11.8256868532	null	hONS_PD_donor_24	null
1787466064_C	0.394554535406	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.5162416758	null	hONS_PD_donor_27	null
1699538155_G	0.588245298211	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	11.6024094994	null	hONS_PD_donor_2	null
1699538155_H	0.599069522692	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.2386039763	null	hONS_PD_donor_3	null
1787466064_E	0.490402805131	hONS	ILMN_1691364	2000	no	hONS	STAT1	Parkinson's disease	12.1657519179	null	hONS_PD_donor_29	null
1787466028_G	0.130971982648	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.4302859079	null	hONS_SZ_donor_10	null
1787466018_H	0.16397696993	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.6472465758	null	hONS_SZ_donor_9	null
1699538158_A	0.200266220487	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	11.7178672689	null	hONS_SZ_donor_1	null
1699538158_B	0.149612698774	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	11.6832822865	null	hONS_SZ_donor_2	null
1699538158_C	0.183246060113	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.4703027068	null	hONS_SZ_donor_3	null
1787466030_C	0.30092811492	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.5719250251	null	hONS_SZ_donor_15	null
1699538158_E	0.295996581734	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.0828780246	null	hONS_SZ_donor_5	null
1699538158_F	0.0777700690916	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	12.6417795278	null	hONS_SZ_donor_6	null
1699538158_G	0.0626554050255	hONS	ILMN_1691364	2000	no	hONS	STAT1	schizophrenia	11.9580811194	null	hONS_SZ_donor_7	null
